[2025-01-07 10:18:15 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-01-07 10:22:28 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-01-07 10:22:59 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-01-07 10:30:04 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-01-10 12:11:39 : INFO] - Cache for URL: https://www.medianet.srl/offerta-fibra-casa-medianet/ has been purged, triggered by action: save_post 
[2025-01-10 12:12:28 : INFO] - Cache for URL: https://www.medianet.srl/offerta-fibra-casa-medianet/ has been purged, triggered by action: save_post 
[2025-01-10 12:15:15 : INFO] - Cache for URL: https://www.medianet.srl/offerta-fibra-casa-medianet/ has been purged, triggered by action: save_post 
[2025-01-21 08:24:29 : INFO] - Cache for URL: https://www.medianet.srl/?p=1754 has been purged, triggered by action: save_post 
[2025-01-21 08:24:29 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1754 has been purged, triggered by action: save_post 
[2025-01-21 08:24:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-01-21 09:06:44 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-01-21 09:07:21 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-01-28 10:55:15 : INFO] - Cache for URL: https://www.medianet.srl/aziende/ has been purged, triggered by action: save_post 
[2025-01-28 11:01:31 : INFO] - Cache for URL: https://www.medianet.srl/enti-pubblici/ has been purged, triggered by action: save_post 
[2025-01-28 11:03:44 : INFO] - Cache for URL: https://www.medianet.srl/ has been purged, triggered by action: save_post 
[2025-02-12 09:40:26 : INFO] - Cache for URL: https://www.medianet.srl/?p=1760 has been purged, triggered by action: save_post 
[2025-02-12 09:40:26 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1760 has been purged, triggered by action: save_post 
[2025-02-12 09:40:26 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-02-12 09:41:23 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
[2025-02-12 09:45:24 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
[2025-02-12 09:54:18 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
[2025-02-12 09:54:47 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
[2025-02-12 09:55:26 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
[2025-02-12 09:56:12 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
[2025-02-12 09:59:00 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1761 has been purged, triggered by action: save_post 
